County,LAT,LON,Event,date,Place,Deaths†,Injured†,Missing†,Houses Destroyed†,Houses Damaged†,Victims†,Affected†,Relocated†,Evacuated†,Damages in crops Ha.†,Comments
MANDERA,2.857428782,40.91477741,FLOOD,10/28/2009,,,,,300,2000,,10000,1500,,,
TANA RIVER,-0.421694549,38.98876291,FLOOD,1/6/2008,Tana Delta,,,,,1874,,13500,,,6000,
TURKANA,3.148692255,35.68342731,FLOOD,12/27/2009,,4,,,15,1000,,,346,,,"great north road destroyed especially at Kakongu, Kalemngorok and Lokichar, irrigation schemes along R. Turkwel badly affected"
SIAYA,0.217253648,34.24955086,FLOOD,6/12/2011,"West Ugenya, East Ugenya",,,,,500,300,,,,,
SIAYA,0.087522857,34.13377037,FLOOD,6/12/2011,"Usonga, Nyadorera centre, Rwambwa Health Centre, Police Post",,,,,500,,,,,100,Roads were also cut off and Nyadorera Market was flooded
ISIOLO,0.547115722,37.78850934,FLOOD,10/26/2006,Isiolo Town,3,,,,354,,1541,,,,
NAIROBI,-1.366321828,36.81424121,FLOOD,4/20/2010,,,,,,300,,,,,,
TRANS NZOIA,1.149711342,34.98656525,FLOOD,2/13/2012,Namanjalala village,,,,,200,,3000,,,,
MIGORI,-0.968971612,34.23950854,FLOOD,9/4/2013,Nyatike,,,,,195,,1572,,,,"125,40,30 houses submerged in Kanyawanga, Konyango and Kobuto villages respectively."
KISUMU,-0.285337496,34.94779754,FLOOD,6/12/2011,west nyakach,,,,,156,,780,,,,
KISUMU,-0.285337496,34.94779754,FLOOD,6/12/2011,THUR DIBUORO,,,,,127,,635,,,,
KISUMU,-0.094690421,34.64642546,FLOOD,4/19/2012,River Awach Tende,,,,,68,,441,,,,
KILIFI,-2.827745482,39.64577337,FLOOD,3/21/2010,Malindi,,,,97,66,,365,,,,
KISUMU,-0.285337496,34.94779754,FLOOD,6/12/2011,Rangul,,,,,63,,315,,315,,
GARISSA,0.119329214,39.15781573,FLOOD,7/11/2008,Gurufa village,,,,,50,,,,,,
NAIROBI,-1.292816458,36.85588634,FLOOD,12/22/2009,Makadara,,,,,33,,,,,,
KISUMU,-0.285337496,34.94779754,FLOOD,6/12/2011,Gem Rae,,,,,25,,125,,,,
LAIKIPIA,0.243690128,37.03386879,FLOOD,4/25/2010,Timau,,,,10,20,,,,,,
KISII,-0.658290258,34.69555016,FLOOD,5/22/2010,Soneka location,,,,,15,,,,,,water seeping into the houses from underground.
MOMBASA,-4.071272877,39.62902314,FLOOD,1/6/2008,"Likoni, Miritini, Port Reitz",,,,,13,,585,,,,
MAKUENI,-2.245442852,37.78452637,FLOOD,12/27/2009,,,,,,5,,180,,,,
HOMA BAY,-0.577404303,34.48232572,FLOOD,4/1/2010,Wahambala village,,,,,5,,296,296,,275,
NYERI,-0.451121702,36.75564013,FLOOD,5/13/2012,"Kagumoini village,Ichamara sublocation",,,,,5,,,,,,
KISUMU,-0.070506973,34.6001277,WINDSTORM,4/15/2010,Otwero Primary School,,,,,5,,,,,,
KILIFI,-2.827745482,39.64577337,FLOOD,1/6/2008,,,17,,,4,,,,,,Roof of 4 houses blown off and one wall damaged
KISUMU,-0.073311548,34.7277667,WINDSTORM,4/15/2010,Luanda Magwar Secondary School,,,,,3,,,,,,
TURKANA,3.148692255,35.68342731,FLOOD,12/27/2009,,5,,,6666,2,,,,,,5 bridges washed away
MURANG'A,-0.737555204,36.98205783,LANDSLIDE,3/11/2009,"Gathaithi sublocation of Kahuho division, Nyagathia village",1,,,,1,,,,,,Juvenile was buried alive after the family's kitchen was swept off by the mass of earth. The slide was triggered by rapid saturation of the soil[...]
NYANDARUA,-0.639908835,36.69121948,FLOOD,9/5/2012,Leshau,,,,,1,,,,,,church swept away 
MURANG'A,-0.638975023,36.9677687,LANDSLIDE,7/11/2008,Mukima,,,,1,1,,4,,,,The drainage system is poor hence the surface runoff water has to look for its own way down the sloppy area posing further dangers to already[...]
NAKURU,-0.376065919,35.9374692,WINDSTORM,3/3/2011,Njoro Police Lines,,,,,1,,,,,,
KISUMU,-0.073311548,34.7277667,WINDSTORM,4/15/2010,Mondi Primary School,,,,,1,,,,,,
NANDI,0.236795213,35.01851381,THUNDERSTORM,6/18/2011,Kapkesengin village,1,3,,,1,,,,,,
KIRINYAGA,-0.659670962,37.36372604,EXTREME RAINS,6/30/2012,Mwea East,,,,,,57154,,,,,Amount of food required maize-5751.
NYERI,-0.240643877,36.81151691,EXTREME RAINS,6/30/2012,Kieni west,,,,,,55518,,,,,Amount of food required maize-2500
MURANG'A,-0.815891304,36.98737235,EXTREME RAINS,6/30/2012,Gatanga,,,,,,50892,,,,,Amount of food maize-3000 and beans -760
KIAMBU,-1.126057426,37.02810163,EXTREME RAINS,6/30/2012,Ruiru,,,,,,39605,,,,,"Amount of food required maize 11316,beans 4868,rice 500 and oil 48422."
KIAMBU,-1.142236267,36.62749723,EXTREME RAINS,6/30/2012,Limuru,,,,,,29790,,,,,"Amount of food required maize-19,860 and beans 9757"
NYANDARUA,-0.555957441,36.56170374,EXTREME RAINS,6/30/2012,Kinangop,,,,,,28783,,,,,
NYERI,-0.191521298,37.06749258,EXTREME RAINS,6/30/2012,Kieni east,,,,,,27100,,,,,"Amount of food required maize-1400,beans-2100 and oil-3500"
MURANG'A,-0.751858591,36.86800498,EXTREME RAINS,6/30/2012,Kigumo,,,,,,23443,,,,,
KIAMBU,-1.234691677,36.62415091,EXTREME RAINS,6/30/2012,kikuyu,,,,,,21900,,,,,A mount of food required maize-560 and beans 74
KIAMBU,-0.910321607,36.68112779,EXTREME RAINS,6/30/2012,kikuyu,,,,,,21900,,,,,A mount of food required maize-24705 and beans 9757
NYERI,-0.445877647,37.11625732,EXTREME RAINS,6/30/2012,Mathira west,,,,,,21160,,,,,"Amount of food required maize-11,130."
KIAMBU,-1.056557964,37.16911028,EXTREME RAINS,6/30/2012,Thika east,,,,,,20069,,,,,Amount of food required maize 18462 and beans 2691.
MURANG'A,-0.648520917,36.77203041,EXTREME RAINS,6/30/2012,Muranga south,,,,,,16576,,,,,"Amount of food required maize-76186,beans-21517,oil-556 and rice 4020."
NYERI,-0.416137094,36.96505115,EXTREME RAINS,6/30/2012,Nyeri Central,,,,,,16500,,,,,"Amount of food required oil-16500,maize-9900 and beans-4027"
KIAMBU,-0.982753903,36.84079276,EXTREME RAINS,6/30/2012,Gatundu north,,,,,,16000,,,,,Amount of food required maize 29000.
MURANG'A,-0.737555204,36.98205783,EXTREME RAINS,6/30/2012,Kahuro,,,,,,16000,,,,,Amount of food required maize-3895.
KIAMBU,-1.04794128,36.78517316,EXTREME RAINS,6/30/2012,Githunguri,,,,,,14760,,,,,"Amount of food required maize-1500,beans-600 and oil 200."
KIAMBU,-1.04794128,36.78517316,EXTREME RAINS,6/30/2012,Githunguri,,,,,,14760,,,,,"A mount of food required maize-1500,beans-600 and oil 200."
KIRINYAGA,-0.659670962,37.36372604,EXTREME RAINS,6/30/2012,Mwea west,,,,,,14693,,,,,
NYANDARUA,-0.555957441,36.56170374,EXTREME RAINS,6/30/2012,Mirangine,,,,,,13600,,,,,"A mount of food required maize 1663,beans 529,oil 3816 and rice 254."
NYANDARUA,-0.555957441,36.56170374,EXTREME RAINS,6/30/2012,Nyandarua west,,,,,,13116,,,,,
MURANG'A,-0.877816822,36.98958778,EXTREME RAINS,6/30/2012,Kandara,,,,,,12500,,,,,
KIRINYAGA,-0.511982367,37.30372319,EXTREME RAINS,6/30/2012,Kirinyaga east,,,,,,9550,,,,,"Amount of food required maize-4000,beans-2500 and oil-28830."
NYERI,-0.577948615,37.07631395,EXTREME RAINS,6/30/2012,Mukurwei ini,,,,,,8700,,,,,"Amount of food required maize-108,500.Expected time of harvest August and September."
NYANDARUA,-0.555957441,36.56170374,EXTREME RAINS,6/30/2012,Nyandarua,,,,,,8430,,,,,A mount of food required maize 1000.
NYANDARUA,-0.555957441,36.56170374,EXTREME RAINS,6/30/2012,Nyandarua central,,,,,,7930,,,,,"A mount of food required maize 5664,beans 2832 and rice 672"
KIAMBU,-0.910321607,36.68112779,FLOOD,7/30/2012,Lari,,,,,,7485,,,,,"A mount of food required maize 11316,beans 4868 and rice 500."
KIAMBU,-0.838599723,36.86714494,FLOOD,7/30/2012,Lari,,,,,,7485,,,,,A mount of food required maize 560 and beans 74.
MURANG'A,-0.69627556,37.14219506,EXTREME RAINS,6/30/2012,Kiharu,,,,,,7310,,,,,
NYANDARUA,-0.555957441,36.56170374,EXTREME RAINS,6/30/2012,Nyandarua north,,,,,,6513,,,,,"A mount of food required maize 2000,beans 400,oil 400 and rice 400."
MURANG'A,-0.638975023,36.9677687,EXTREME RAINS,6/30/2012,Mathioya,,,,,,6173,,,,,Amount of food required maize-687.
KIAMBU,-1.162889285,36.80600841,EXTREME RAINS,6/30/2012,Kiambu,,,,,,5075,,,,,Amount of food required maize-30021
KIAMBU,-1.056557964,37.16911028,EXTREME RAINS,6/30/2012,Thika west,,,,,,3500,,,,,"Amount of food required maize 3888,beans 1458 and oil 200."
NYANDARUA,-0.402735039,36.50844474,EXTREME RAINS,6/30/2012,Kipipiri,,,,,,3000,,,,,"A mount of food required maize 3000,beans 1200 and rice 1000."
NYERI,-0.451222501,36.93707257,EXTREME RAINS,6/30/2012,Tetu,,,,,,2750,,,,,"Amount of food required maize-10,000,beans-5,000 and oil-2000.Expected time of harvest August and september."
KIRINYAGA,-0.511982367,37.30372319,EXTREME RAINS,6/30/2012,Kirinyaga central,,,,,,2621,,,,,"Amount of food required maize-2500,beans-600 and oil-275."
MURANG'A,-0.691825513,36.96287956,EXTREME RAINS,6/30/2012,Kangema,,,,,,2153,,,,,
NYERI,-0.416137094,36.96505115,EXTREME RAINS,6/30/2012,Nyeri South,,,,,,1000,,,,,"Amount of food required maize-130,500 and beans-30,400.Expected time of harvest August and september."
NYERI,-0.445877647,37.11625732,EXTREME RAINS,6/30/2012,Mathira east,,,,,,993,,,,,"Amount of food required maize-63,beans-26,rice-127 and oil-316."
KIRINYAGA,-0.511982367,37.30372319,EXTREME RAINS,6/30/2012,Kirinyaga west,,,,,,970,,,,,
HOMA BAY,-0.704324998,34.13735449,FLOOD,4/18/2012,Nyabura village Seka sub-loc,2,,,,,3,,,,,"maize,bananas and cassava plants swept away and roads are impassable"
NAROK,-0.982478387,35.82108478,FLOOD,2/4/2013,Doroboni river,4,,,,,2,,,,,Two victims were rescued and survived.
KWALE,-4.408103236,39.11858077,DROUGHT,9/3/2011,,,,,,,,45100,,,,
KWALE,-4.408103236,39.11858077,FLOOD,1/6/2008,Kinondo,,,,4,,,46,,,,
KWALE,-4.408103236,39.11858077,EPIDEMIC,2/27/2010,Msambweni,5,,,,,,6,,,,"Local community are using water from stagnant water pans and shallow wells, Low latrine coverage (32%), limited use of the available toilets, open[...]"
KWALE,-4.408103236,39.11858077,EPIDEMIC,10/16/2009,Msambweni,,,,,,,2,,,,
KWALE,-4.408103236,39.11858077,FLOOD,10/27/2006,Mwereni,4,,,,,,,,,,
KWALE,-4.408103236,39.11858077,FLOOD,10/13/2011,Diani Location,,,,,,,,,,,"3 villages, Harmony, Sululu and Lemba were submerged by the floods"
KWALE,-4.408103236,39.11858077,DROUGHT,2/28/2011,,,,,,,,,,,,
KWALE,-4.408103236,39.11858077,DROUGHT,1/8/2009,Msambweni,,,,,,,,,,,
KWALE,-4.245130486,39.3212928,EPIDEMIC,3/19/2010,Kwale,,,,,,,8,,,,
KWALE,-4.160261825,39.526973,FLOOD,10/27/2006,Tiwi,,,,21,,,67,,,,67 families were rendered homeless
KWALE,-4.160261825,39.526973,DROUGHT,9/3/2011,,,,,,,,,,,,
KWALE,-4.160261825,39.526973,DROUGHT,1/8/2009,Matuga,,,,,,,,,,,
KWALE,-4.112691034,39.01770097,DROUGHT,1/8/2009,Kinango,,,,,,,120000,,,,
KWALE,-4.112691034,39.01770097,DROUGHT,9/4/2009,,,,,,,,64,,,,
KWALE,-4.112691034,39.01770097,DROUGHT,2/28/2011,,,,,,,,,,,,
KWALE,-4.112691034,39.01770097,EPIDEMIC,1/1/2007,,,,,,,,,,,,
KWALE,-4.112691034,39.01770097,EPIDEMIC,1/1/2007,,,,,,,,,,,,
MOMBASA,-4.071272877,39.62902314,DROUGHT,9/3/2011,,,,,,,,71653,,,,
MOMBASA,-4.071272877,39.62902314,DROUGHT,1/8/2009,Likoni,,,,,,,,,,,
MOMBASA,-4.024685907,39.66429644,DROUGHT,1/8/2009,Kilindini,,,,,,,219546,,,,
MOMBASA,-4.024685907,39.66429644,DROUGHT,9/3/2011,,,,,,,,30000,,,,
MOMBASA,-4.024685907,39.66429644,FLOOD,1/6/2008,"Majengo Ya Simba, Sparki A and B, Tudor and Mburukenge",1,,,200,,,300,,,,Person killed as a result of a Nakumatt wall collapsed on him
MOMBASA,-4.024685907,39.66429644,EPIDEMIC,2/15/2010,Mombasa,,,,,,,15,,,,"Local community was using contaminated water from shallow wells, latrine coverage is lower in the informal settlements, defecation into the ocean is[...]"
MOMBASA,-4.024685907,39.66429644,EPIDEMIC,2/19/2010,Kilindini,1,,,,,,6,,,,"Shallow wells, collapsed water sewer system seeping underground and resurfacing as a 'spring', poor sanitation standards, poor personal hygiene[...]"
MOMBASA,-4.024685907,39.66429644,FLOOD,2/18/2011,Makupa,1,4,,,,,,,,,
MOMBASA,-3.969912452,39.61121446,DROUGHT,2/3/2009,Kilindini,,,,,,,219546,,,,
MOMBASA,-3.969912452,39.61121446,EPIDEMIC,1/1/2009,Mombasa,3,,,,,,18,,,,Incidences of cholera were reported as from January to June 2009
MOMBASA,-3.969912452,39.61121446,FLOOD,10/27/2006,Mikombani/ Mikanjuni,,,,5,,,,,,,5 families were left homeless
MOMBASA,-3.969912452,39.61121446,DROUGHT,1/8/2009,Changamwe,,,,,,,,,,,
MOMBASA,-3.969912452,39.61121446,FLOOD,1/6/2008,Changamwe and Kisima Cha zamani Areas,,,,,,,,,,,
MOMBASA,-3.963063661,39.6902308,DROUGHT,2/28/2011,,,,,,,,50000,,,,
MOMBASA,-3.963063661,39.6902308,FLOOD,10/28/2009,,,,,,,,35000,,,,
MOMBASA,-3.963063661,39.6902308,FLOOD,10/27/2006,"Mishomoni, Kisauni, Bombolulu",,,,2,,,60,,,,60 families were affected
MOMBASA,-3.963063661,39.6902308,DROUGHT,1/8/2009,Kisauni,,,,,,,,,,,
KILIFI,-3.790779303,39.52704529,DROUGHT,1/1/2009,Kaloleni,,,,,,,65500,,,,
KILIFI,-3.790779303,39.52704529,DROUGHT,1/3/2011,,,,,,,,45100,,,,
KILIFI,-3.790779303,39.52704529,FLOOD,10/27/2006,"Kombeni, Ribe",,,,15,,,,,,,Learning institutions have been affected
KILIFI,-3.790779303,39.52704529,FLOOD,10/15/2011,Ngwenzeni river,1,,,,,,,,,,The river was swollen due to heavy rains
KILIFI,-3.790779303,39.52704529,DROUGHT,2/28/2011,Rabai,,,,,,,,,,,
KILIFI,-3.790779303,39.52704529,FLOOD,10/27/2006,Jimba,,,,,,,,,,,Tha main bridge linking Mazeras to Kaloleni has been washed away
KWALE,-3.780351832,39.25333184,DROUGHT,1/3/2011,,,,,,,,45100,,,,
KWALE,-3.780351832,39.25333184,FLOOD,2/2/2012,Kilibasi,,,,,,,34000,,,,
KWALE,-3.780351832,39.25333184,DROUGHT,9/4/2009,Matope,,,,,,,2,,,,
KWALE,-3.780351832,39.25333184,DROUGHT,2/28/2011,,,,,,,,,,,,
KILIFI,-3.761709161,39.78162122,FLOOD,1/11/2009,Kidutani,2,,,,,,54,,,,River Mbogholo burst and swept away crops. Abridge under construction was swept away and 3 power posts were brought down by the water
KILIFI,-3.761709161,39.78162122,FLOOD,5/22/2010,Mtwapa Village,,,,354,,,,,,,
